entry1	entry2	type
00140_255	00140_263	ECrel
00140_255	00140_264	ECrel
00140_255	00140_210	ECrel
00140_255	00140_209	ECrel
00140_263	00140_210	ECrel
00140_263	00140_209	ECrel
00140_264	00140_210	ECrel
00140_264	00140_209	ECrel
00140_255	00140_256	ECrel
00140_259	00140_263	ECrel
00140_259	00140_264	ECrel
00140_259	00140_260	ECrel
00140_211	00140_210	ECrel
00140_211	00140_209	ECrel
00140_213	00140_214	ECrel
00140_213	00140_215	ECrel
00140_213	00140_319	ECrel
00140_213	00140_223	ECrel
00140_213	00140_222	ECrel
00140_214	00140_215	ECrel
00140_214	00140_319	ECrel
00140_214	00140_223	ECrel
00140_214	00140_222	ECrel
00140_215	00140_319	ECrel
00140_215	00140_223	ECrel
00140_215	00140_222	ECrel
